-----------------------------------------
now: 2018-01-31 10:26:07.453500
data:
x|y|z|abs
 0.03| 0.52|-0.09| 0.52
 0.15| 0.70|-0.85| 1.12
 0.49| 0.79|-1.80| 2.02
 0.37| 0.80|-1.87| 2.07
 0.29| 0.61|-1.68| 1.81
 0.50| 0.26|-0.87| 1.04
-0.23| 0.15| 0.85| 0.90
 0.05| 0.36| 0.60| 0.70
 0.09| 0.78|-0.55| 0.96
 0.69| 1.06|-2.43| 2.74
 0.79| 0.89|-2.77| 3.02
 0.38| 0.63|-1.66| 1.81
 0.46| 0.22|-0.54| 0.74
 0.14| 0.05| 0.60| 0.62
-0.09| 0.11| 0.82| 0.84
 0.10| 0.65|-1.20| 1.37
 0.56| 0.76|-2.67| 2.83
 0.33| 0.71|-2.39| 2.52
 0.26| 0.28|-1.02| 1.09
 0.04|-0.08| 0.79| 0.80
 0.07| 0.11| 0.64| 0.65
-0.09| 0.54|-0.27| 0.61
 0.30| 1.00|-2.26| 2.49
 0.27| 0.86|-3.16| 3.29
 0.24| 0.41|-1.57| 1.64
 0.20|-0.13| 1.04| 1.06
 0.14| 0.09| 0.94| 0.95
-0.07| 0.50| 0.22| 0.55
 0.27| 1.04|-2.09| 2.35
 0.20| 1.18|-3.45| 3.65
 0.02| 0.87|-2.73| 2.86
 0.04|-0.11| 1.27| 1.27
 0.23|-0.02| 1.23| 1.26
 0.37| 0.57|-1.94| 2.05
 0.03| 0.60|-1.94| 2.03
-0.03| 0.41|-1.30| 1.36
 0.01| 0.32|-0.58| 0.66
 0.06| 0.37|-0.70| 0.79
 0.11| 0.34|-0.64| 0.74
 0.10| 0.35|-0.58| 0.69
 0.11| 0.41|-0.65| 0.78
 0.18| 0.54|-0.85| 1.02
 0.95|-0.01|-1.29| 1.60
 0.62| 0.01|-1.06| 1.23
-0.02| 0.44|-0.72| 0.84
 0.54|-0.02|-0.87| 1.03
 0.75|-0.01|-0.82| 1.11
 0.15| 0.38|-1.30| 1.36
 0.22| 0.44|-0.90| 1.03
 0.59|-0.20|-0.42| 0.75
-0.02| 0.43|-1.10| 1.19
 0.11| 0.37|-0.77| 0.86
 0.19| 0.24|-0.50| 0.59
 0.21| 0.31|-0.82| 0.90
 0.14| 0.43|-0.88| 0.99
 0.11| 0.49|-0.79| 0.93
 0.16| 0.42|-0.79| 0.91
 0.16| 0.45|-0.91| 1.03
-----------------------------------------
